subject,checker_type,destination,tested_at
www.rintinwa.com,AVAILABILITY,domains.list,46:26.0
www.ruvuryua.ru,AVAILABILITY,domains.list,46:26.8
www.safe.nimiq.com,AVAILABILITY,domains.list,46:27.5
www.sbhmn-miner.com,AVAILABILITY,domains.list,46:28.0
www.salamaleyum.com,AVAILABILITY,domains.list,46:28.6
www.scaleway.ovh,AVAILABILITY,domains.list,46:34.3
www.rottenwhorememe.cf,AVAILABILITY,domains.list,46:35.9
www.secumine.net,AVAILABILITY,domains.list,46:37.3
www.seed-1.nimiq.com,AVAILABILITY,domains.list,46:37.8
www.seed-2.nimiq.com,AVAILABILITY,domains.list,46:38.3
www.seed-3.nimiq.com,AVAILABILITY,domains.list,46:38.7
www.seed-4.nimiq-network.com,AVAILABILITY,domains.list,46:39.2
www.seed-5.nimiq-network.com,AVAILABILITY,domains.list,46:39.6
www.seed-7.nimiq.network,AVAILABILITY,domains.list,46:40.1
www.seed-8.nimiq.network,AVAILABILITY,domains.list,46:40.6
www.seed-6.nimiq-network.com,AVAILABILITY,domains.list,46:41.1
www.seed-9.nimiq.network,AVAILABILITY,domains.list,46:41.6
www.seed-10.nimiq.network,AVAILABILITY,domains.list,46:42.0
www.seed-11.nimiq.network,AVAILABILITY,domains.list,46:42.5
www.seed-12.nimiq.network,AVAILABILITY,domains.list,46:43.0
www.seed-15.nimiq-network.com,AVAILABILITY,domains.list,46:43.4
www.seed-13.nimiq-network.com,AVAILABILITY,domains.list,46:43.9
www.seed-14.nimiq-network.com,AVAILABILITY,domains.list,46:44.4
www.seed-18.nimiq.com,AVAILABILITY,domains.list,46:44.8
www.seed-16.nimiq.com,AVAILABILITY,domains.list,46:45.3
www.seed-17.nimiq.com,AVAILABILITY,domains.list,46:45.8
www.seed-19.nimiq.com,AVAILABILITY,domains.list,46:46.2
www.seed-20.nimiq.com,AVAILABILITY,domains.list,46:46.7
www.shop.nimiq-network.com,AVAILABILITY,domains.list,46:47.2
www.skencituer.com,AVAILABILITY,domains.list,46:47.8
www.siteverification.site,AVAILABILITY,domains.list,46:48.5
www.smectapop12.pl,AVAILABILITY,domains.list,46:49.6
www.sptlkiyjsglayc.ru,AVAILABILITY,domains.list,46:50.4
www.stat0808.info,AVAILABILITY,domains.list,46:51.1
www.srcu.pw,AVAILABILITY,domains.list,46:51.8
www.static.reasedoper.pw,AVAILABILITY,domains.list,46:52.6
